fecha,turno,area,throughput_gap,congestion_index,avg_wait_time,queue_pressure_score,slot_utilization,yard_occupancy_rate,bottleneck_density,dispatch_risk_density,operational_stress_score,area_criticality_score,main_bottleneck_driver,recommended_action_initial
2025-01-02,A,EXPEDICION,-67,0.0,62.473684210526315,78.94736842105263,0.0,0.0,0.0,0.7894736842105263,25.075809999999997,35.221302350877195,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-02,B,EXPEDICION,-8,0.0,72.96969696969697,90.9090909090909,0.0,0.0,0.0,0.9090909090909092,8.089504999999999,15.698709080808081,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-02,C,EXPEDICION,-29,0.0,67.36363636363636,72.72727272727273,0.0,0.0,0.0,0.7272727272727273,25.076185,35.628873363636366,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-03,A,EXPEDICION,-6,0.0,78.25806451612904,95.16129032258064,0.0,0.0,0.0,0.9516129032258064,6.087015,13.738908376344089,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-03,B,EXPEDICION,-7,0.0,92.35185185185183,98.14814814814817,0.0,0.0,0.0,0.9814814814814816,7.079650000000001,16.111917654320987,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-03,C,EXPEDICION,-3,0.0,87.8,95.55555555555556,0.0,0.0,0.0,0.9555555555555556,3.093435,10.935353666666666,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-04,A,EXPEDICION,0,0.0,92.49019607843135,96.07843137254902,0.0,0.0,0.0,0.9607843137254902,0.06909,7.721334339869279,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-04,B,EXPEDICION,-7,0.0,97.51923076923076,98.07692307692308,0.0,0.0,0.0,0.9807692307692308,7.074655000000001,16.541533564102565,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-04,C,EXPEDICION,11,0.0,98.79245283018868,96.22641509433964,0.0,0.0,0.0,0.9622641509433962,11.06975,21.446654402515723,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-05,A,EXPEDICION,-4,0.0,105.0,98.27586206896552,0.0,0.0,0.0,0.9827586206896552,4.080865,13.566173,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-05,C,EXPEDICION,12,0.0,84.46666666666667,90.0,0.0,0.0,0.0,0.9,12.094095,21.457707888888887,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-06,A,EXPEDICION,-27,0.0,85.57446808510639,97.87234042553192,0.0,0.0,0.0,0.9787234042553192,25.073845,37.14597467375887,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-06,B,EXPEDICION,-19,0.0,90.0,93.75,0.0,0.0,0.0,0.9375,19.080325,30.316065000000002,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-06,C,EXPEDICION,20,0.0,79.72222222222223,79.62962962962963,0.0,0.0,0.0,0.7962962962962963,20.07698,30.658914518518518,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-07,A,EXPEDICION,-12,0.0,93.72222222222224,92.5925925925926,0.0,0.0,0.0,0.925925925925926,12.084195,22.227024185185186,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-07,B,EXPEDICION,-10,0.0,76.94642857142857,91.07142857142856,0.0,0.0,0.0,0.9107142857142856,10.09288,18.43077838095238,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-07,C,EXPEDICION,3,0.0,105.4186046511628,97.67441860465117,0.0,0.0,0.0,0.9767441860465116,3.09351,12.403585720930234,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-08,A,EXPEDICION,-21,0.0,86.28260869565217,91.30434782608695,0.0,0.0,0.0,0.9130434782608696,21.06948,32.40411339130435,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-08,B,EXPEDICION,25,0.0,86.13513513513513,86.48648648648648,0.0,0.0,0.0,0.8648648648648649,25.083715,37.19467092792792,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
2025-01-08,C,EXPEDICION,16,0.0,84.984375,93.75,0.0,0.0,0.0,0.9375,16.083295,26.29869025,RIESGO_EXPEDICION,Priorizar expedición selectiva y ventana de readiness
