fecha,turno,area,throughput_plan,throughput_real,throughput_gap,congestion_index,avg_wait_time,queue_pressure_score,slot_utilization,yard_occupancy_rate,bottleneck_density,dispatch_risk_density,operational_stress_score,headcount_proxy,absentismo_proxy,productividad_turno_indice,presion_operativa_indice,overtime_flag
2025-01-02,A,EXPEDICION,86,19,-67,0.0,62.473684210526315,78.94736842105263,0.0,0.0,0.0,0.7894736842105263,25.075809999999997,121.0,0.0294,1.0079,0.5054,false
2025-01-02,B,EXPEDICION,41,33,-8,0.0,72.96969696969697,90.9090909090909,0.0,0.0,0.0,0.9090909090909091,8.089504999999999,100.0,0.0858,0.9495,0.5967,false
2025-01-02,C,EXPEDICION,40,11,-29,0.0,67.36363636363636,72.72727272727273,0.0,0.0,0.0,0.7272727272727273,25.076185000000002,86.0,0.0643,0.8012,0.5079,false
2025-01-03,A,EXPEDICION,68,62,-6,0.0,78.25806451612904,95.16129032258065,0.0,0.0,0.0,0.9516129032258065,6.087015,119.0,0.0532,1.0421,0.5801,false
2025-01-03,B,EXPEDICION,61,54,-7,0.0,92.35185185185185,98.14814814814815,0.0,0.0,0.0,0.9814814814814815,7.079650000000001,106.0,0.0608,0.92,0.531,false
2025-01-03,C,EXPEDICION,48,45,-3,0.0,87.8,95.55555555555556,0.0,0.0,0.0,0.9555555555555556,3.093435,95.0,0.0551,0.8521,0.6229,false
2025-01-04,A,EXPEDICION,51,51,0,0.0,92.49019607843137,96.07843137254902,0.0,0.0,0.0,0.9607843137254902,0.06909,97.0,0.0747,0.9918,0.4606,false
2025-01-04,B,EXPEDICION,59,52,-7,0.0,97.51923076923077,98.07692307692307,0.0,0.0,0.0,0.9807692307692307,7.074655000000001,93.0,0.0693,1.0026,0.4977,false
2025-01-04,C,EXPEDICION,42,53,11,0.0,98.79245283018868,96.22641509433963,0.0,0.0,0.0,0.9622641509433962,11.06975,69.0,0.0831,0.8533,0.465,false
2025-01-05,A,EXPEDICION,62,58,-4,0.0,105.0,98.27586206896551,0.0,0.0,0.0,0.9827586206896551,4.080865,94.0,0.0639,1.0297,0.5391,false
2025-01-05,C,EXPEDICION,48,60,12,0.0,84.46666666666667,90.0,0.0,0.0,0.0,0.9,12.094095,82.0,0.0808,0.8591,0.6273,false
2025-01-06,A,EXPEDICION,74,47,-27,0.0,85.57446808510639,97.87234042553192,0.0,0.0,0.0,0.9787234042553191,25.073845,120.0,0.099,0.9774,0.4923,false
2025-01-06,B,EXPEDICION,67,48,-19,0.0,90.0,93.75,0.0,0.0,0.0,0.9375,19.080325000000002,112.0,0.0764,0.9926,0.5355,false
2025-01-06,C,EXPEDICION,34,54,20,0.0,79.72222222222223,79.62962962962963,0.0,0.0,0.0,0.7962962962962963,20.07698,92.0,0.0668,0.8864,0.5132,false
2025-01-07,A,EXPEDICION,66,54,-12,0.0,93.72222222222223,92.5925925925926,0.0,0.0,0.0,0.9259259259259259,12.084195,108.0,0.0705,0.9824,0.5613,false
2025-01-07,B,EXPEDICION,66,56,-10,0.0,76.94642857142857,91.07142857142857,0.0,0.0,0.0,0.9107142857142857,10.09288,98.0,0.0976,0.8878,0.6192,false
2025-01-07,C,EXPEDICION,40,43,3,0.0,105.4186046511628,97.67441860465115,0.0,0.0,0.0,0.9767441860465116,3.09351,73.0,0.1064,0.8285,0.6234,false
2025-01-08,A,EXPEDICION,67,46,-21,0.0,86.28260869565217,91.30434782608695,0.0,0.0,0.0,0.9130434782608695,21.06948,116.0,0.0874,0.9335,0.4632,false
2025-01-08,B,EXPEDICION,49,74,25,0.0,86.13513513513513,86.48648648648648,0.0,0.0,0.0,0.8648648648648649,25.083715,106.0,0.0657,0.9177,0.5581,false
2025-01-08,C,EXPEDICION,48,64,16,0.0,84.984375,93.75,0.0,0.0,0.0,0.9375,16.083295,84.0,0.0767,0.8794,0.5553,false
2025-01-09,A,EXPEDICION,79,58,-21,0.0,105.5,94.82758620689656,0.0,0.0,0.0,0.9482758620689655,21.06186,116.0,0.0914,0.9917,0.4124,false
2025-01-09,B,EXPEDICION,65,68,3,0.0,87.1029411764706,95.58823529411765,0.0,0.0,0.0,0.9558823529411765,3.069465,110.0,0.0483,0.914,0.4631,false
2025-01-09,C,EXPEDICION,46,44,-2,0.0,96.0,95.45454545454545,0.0,0.0,0.0,0.9545454545454546,2.088755,92.0,0.0559,0.9062,0.5917,false
2025-01-10,A,EXPEDICION,65,46,-19,0.0,88.54347826086956,93.47826086956522,0.0,0.0,0.0,0.9347826086956522,19.08094,117.0,0.0649,1.0317,0.5396,false
2025-01-10,B,EXPEDICION,56,56,0,0.0,81.30357142857143,83.92857142857143,0.0,0.0,0.0,0.8392857142857143,0.08358,112.0,0.0653,0.9112,0.5572,false
2025-01-10,C,EXPEDICION,56,57,1,0.0,89.71929824561404,94.73684210526315,0.0,0.0,0.0,0.9473684210526315,1.09198,99.0,0.0917,0.8461,0.6132,false
2025-01-11,A,EXPEDICION,59,67,8,0.0,94.31343283582089,97.01492537313433,0.0,0.0,0.0,0.9701492537313433,8.06666,111.0,0.081,0.9863,0.4444,false
2025-01-11,C,EXPEDICION,34,58,24,0.0,90.62068965517241,87.93103448275862,0.0,0.0,0.0,0.8793103448275862,24.08208,72.0,0.0942,0.7973,0.5472,false
2025-01-12,A,EXPEDICION,55,59,4,0.0,104.83050847457628,98.30508474576271,0.0,0.0,0.0,0.9830508474576272,4.07695,91.0,0.1033,0.9386,0.513,false
2025-01-12,B,EXPEDICION,55,51,-4,0.0,98.03921568627452,90.19607843137256,0.0,0.0,0.0,0.9019607843137255,4.068985,90.0,0.0949,0.9598,0.4599,false
2025-01-12,C,EXPEDICION,37,46,9,0.0,112.8695652173913,95.65217391304348,0.0,0.0,0.0,0.9565217391304348,9.072750000000001,66.0,0.1118,0.7927,0.485,true
2025-01-13,A,EXPEDICION,63,51,-12,0.0,77.90196078431373,82.35294117647058,0.0,0.0,0.0,0.8235294117647058,12.06738,124.0,0.0921,0.9655,0.4492,false
2025-01-13,B,EXPEDICION,53,53,0,0.0,70.37735849056604,88.67924528301887,0.0,0.0,0.0,0.8867924528301887,0.073875,109.0,0.0906,0.8613,0.4925,false
2025-01-13,C,EXPEDICION,31,44,13,0.0,93.6590909090909,86.36363636363636,0.0,0.0,0.0,0.8636363636363636,13.090855000000001,82.0,0.1162,0.8388,0.6057,true
2025-01-14,A,EXPEDICION,75,51,-24,0.0,80.6470588235294,86.27450980392157,0.0,0.0,0.0,0.8627450980392157,24.090645,109.0,0.0785,0.9678,0.6043,false
2025-01-14,C,EXPEDICION,49,53,4,0.0,85.32075471698113,94.33962264150944,0.0,0.0,0.0,0.9433962264150944,4.08865,105.0,0.0444,0.882,0.591,false
2025-01-15,A,EXPEDICION,57,54,-3,0.0,102.79629629629629,92.5925925925926,0.0,0.0,0.0,0.9259259259259259,3.06945,116.0,0.0927,0.918,0.463,false
2025-01-15,B,EXPEDICION,49,64,15,0.0,103.921875,95.3125,0.0,0.0,0.0,0.953125,15.094905,112.0,0.0733,0.8477,0.6327,false
2025-01-15,C,EXPEDICION,54,53,-1,0.0,101.01886792452831,90.56603773584906,0.0,0.0,0.0,0.9056603773584906,1.09141,87.0,0.0569,0.8651,0.6094,false
2025-01-16,A,EXPEDICION,62,58,-4,0.0,83.34482758620689,91.37931034482759,0.0,0.0,0.0,0.9137931034482759,4.0702300000000005,108.0,0.0881,0.952,0.4682,false
2025-01-16,B,EXPEDICION,57,51,-6,0.0,73.76470588235294,90.19607843137256,0.0,0.0,0.0,0.9019607843137255,6.06252,109.0,0.0964,0.8884,0.4168,false
2025-01-16,C,EXPEDICION,46,51,5,0.0,93.17647058823529,96.07843137254902,0.0,0.0,0.0,0.9607843137254902,5.083265,88.0,0.0695,0.8029,0.5551,false
2025-01-17,A,EXPEDICION,82,51,-31,0.0,72.13725490196079,86.27450980392157,0.0,0.0,0.0,0.8627450980392157,25.077700000000004,114.0,0.0916,0.965,0.518,false
