fecha,turno,zona_carga,slot_id,sessions_count,avg_wait_time_min,avg_charging_duration_min,energy_delivered_kwh,interruption_rate,avg_soc_gap_pct,charging_bottleneck_impact,slot_utilization_ratio
2025-02-02,C,SUR,SLOT_001,1,8.0,93.0,73.549,0.0,9.66497461928934,0.4118,0.19375
2025-02-24,C,ESTE,SLOT_029,1,57.0,39.0,44.044,1.0,7.472718894009216,0.40415,0.08125
2025-02-24,A,SUR,SLOT_030,1,60.0,33.0,43.659,0.0,7.472718894009216,0.40415,0.06875
2025-03-02,C,SUR,SLOT_007,1,36.0,25.0,40.422,0.0,14.071238095238094,0.4209,0.052083333333333336
2025-03-02,C,SUR,SLOT_025,1,41.0,53.0,39.809,1.0,14.071238095238094,0.4209,0.11041666666666666
2025-03-03,C,NORTE,SLOT_017,1,32.0,86.0,46.126,0.0,10.442809523809522,0.4179,0.17916666666666667
2025-03-07,C,SUR,SLOT_008,1,51.0,30.0,42.373,1.0,14.338340611353708,0.4218,0.0625
2025-03-07,C,OESTE,SLOT_006,1,39.0,23.0,28.7,0.0,14.338340611353708,0.4218,0.04791666666666667
2025-03-07,A,SUR,SLOT_027,1,47.0,79.0,45.527,0.0,14.338340611353708,0.4218,0.16458333333333333
2025-03-07,B,NORTE,SLOT_019,1,58.0,50.0,41.414,0.0,14.338340611353708,0.4218,0.10416666666666667
2025-03-25,C,NORTE,SLOT_019,1,56.0,48.0,54.145,0.0,17.339800664451836,0.3743,0.1
2025-03-25,A,NORTE,SLOT_021,1,57.0,47.0,44.741,0.0,17.339800664451836,0.3743,0.09791666666666667
2025-03-26,C,NORTE,SLOT_021,1,21.0,74.0,56.725,0.0,14.594346153846157,0.3997,0.15416666666666667
2025-03-26,A,SUR,SLOT_001,1,66.0,84.0,51.367,0.0,14.594346153846157,0.3997,0.175
2025-04-01,A,ESTE,SLOT_004,1,43.0,35.0,42.238,0.0,16.99003278688525,0.4246,0.07291666666666667
2025-04-01,B,OESTE,SLOT_002,1,20.0,44.0,64.871,0.0,16.99003278688525,0.4246,0.09166666666666666
2025-04-04,C,SUR,SLOT_005,1,56.0,52.0,43.706,0.0,17.5885090909091,0.392,0.10833333333333334
2025-04-05,C,ESTE,SLOT_004,1,41.0,45.0,45.839,1.0,17.26479041916168,0.3982,0.09375
2025-04-11,C,NORTE,SLOT_003,1,27.0,53.0,46.495,1.0,17.458137931034482,0.5018,0.11041666666666666
2025-04-11,C,SUR,SLOT_005,1,82.0,59.0,40.492,0.0,17.458137931034482,0.5018,0.12291666666666666
2025-04-11,A,OESTE,SLOT_002,1,60.0,29.0,34.189,1.0,17.458137931034482,0.5018,0.06041666666666667
2025-04-11,A,SUR,SLOT_012,1,49.0,51.0,56.901,0.0,17.458137931034482,0.5018,0.10625
2025-04-11,B,ESTE,SLOT_020,1,56.0,48.0,37.3,0.0,17.458137931034482,0.5018,0.1
2025-04-15,C,OESTE,SLOT_009,1,61.0,25.0,55.577,0.0,18.07258741258741,0.5068,0.052083333333333336
2025-04-19,A,NORTE,SLOT_024,1,52.0,48.0,33.441,0.0,18.14275167785234,0.3961,0.1
2025-04-19,B,OESTE,SLOT_010,1,31.0,49.0,42.875,0.0,18.14275167785234,0.3961,0.10208333333333333
2025-04-21,A,OESTE,SLOT_002,1,40.0,25.0,58.114,0.0,19.204163265306125,0.35605,0.052083333333333336
2025-04-21,B,SUR,SLOT_007,1,41.0,40.0,59.867,0.0,19.204163265306125,0.35605,0.08333333333333333
2025-04-21,B,NORTE,SLOT_017,1,37.0,60.0,24.894,1.0,19.204163265306125,0.35605,0.125
2025-04-22,C,OESTE,SLOT_014,1,60.0,41.0,40.629,0.0,19.970628571428563,0.5126,0.08541666666666667
2025-04-22,B,SUR,SLOT_012,1,46.0,26.0,35.866,0.0,19.970628571428563,0.5126,0.05416666666666667
2025-04-23,C,OESTE,SLOT_002,1,37.0,23.0,41.974,0.0,18.60225130890053,0.3013,0.04791666666666667
2025-04-23,B,OESTE,SLOT_010,1,52.0,72.0,48.911,0.0,18.60225130890053,0.3013,0.15
2025-04-23,C,ESTE,SLOT_020,1,44.0,56.0,33.639,1.0,18.60225130890053,0.3013,0.11666666666666667
2025-04-29,C,OESTE,SLOT_014,2,68.0,41.0,90.799,0.0,23.15653739612188,0.3032,0.17083333333333334
2025-04-29,C,SUR,SLOT_027,1,69.0,57.0,45.632,0.0,23.15653739612188,0.3032,0.11875
2025-04-29,C,SUR,SLOT_001,1,62.0,114.0,72.793,0.0,23.15653739612188,0.3032,0.2375
