order_id,tipo_propulsion,familia_van,destino,prioridad_cliente,ts_prod_inicio,ts_prod_fin,ts_entry_patio,ts_exit_patio,ts_inicio_carga,ts_fin_carga,ts_ready_expedicion,ts_salida_real,modo_salida,sla_horas,duracion_total_produccion_min,kwh_cargados,espera_carga_min,ocupacion_sector_media_pct,espera_patio_min,espera_salida_min,lead_time_total_horas,cumple_sla_flag
ORD000032,EV,LargeVan,Italia,2,2025-01-01 02:11:00,2025-01-01 10:52:00,2025-01-01 12:09:00,2025-01-01 15:11:00,2025-01-01 13:32:00,2025-01-01 14:41:00,2025-01-01 17:09:00,2025-01-01 18:26:00,TREN,48.0,493.0,39.41,23.0,66.03000000000002,77,225,16.25,1
ORD000012,ICE,CrewVan,Benelux,3,2025-01-01 03:09:00,2025-01-01 11:29:00,2025-01-01 11:52:00,2025-01-01 15:19:00,,,2025-01-01 17:07:00,2025-01-01 20:43:00,CAMION,36.0,455.0,0.0,0.0,57.64666666666667,23,324,17.566666666666666,1
ORD000020,ICE,CrewVan,Iberia,2,2025-01-01 06:36:00,2025-01-01 14:48:00,2025-01-01 16:03:00,2025-01-01 21:15:00,,,2025-01-01 23:56:00,2025-01-02 03:32:00,CAMION,24.0,460.0,0.0,0.0,58.76333333333334,75,377,20.933333333333334,1
ORD000028,ICE,LargeVan,Iberia,1,2025-01-01 07:21:00,2025-01-01 14:55:00,2025-01-01 16:07:00,2025-01-01 20:17:00,,,2025-01-01 20:57:00,2025-01-01 21:31:00,CAMION,24.0,420.0,0.0,0.0,62.39333333333334,72,74,14.166666666666666,1
ORD000033,ICE,LargeVan,Alemania,1,2025-01-01 06:43:00,2025-01-01 14:56:00,2025-01-01 16:20:00,2025-01-01 19:44:00,,,2025-01-01 20:50:00,2025-01-01 23:27:00,TREN,42.0,459.0,0.0,0.0,57.54333333333333,84,223,16.733333333333334,1
ORD000013,ICE,LargeVan,Italia,2,2025-01-01 08:02:00,2025-01-01 15:39:00,2025-01-01 17:00:00,2025-01-01 22:09:00,,,2025-01-02 00:54:00,2025-01-02 04:26:00,CAMION,48.0,430.0,0.0,0.0,60.32,81,377,20.4,1
ORD000007,ICE,CrewVan,Alemania,2,2025-01-01 06:36:00,2025-01-01 15:42:00,2025-01-01 16:22:00,2025-01-01 21:10:00,,,2025-01-01 23:53:00,2025-01-02 00:46:00,CAMION,42.0,520.0,0.0,0.0,62.303333333333335,40,216,18.166666666666668,1
ORD000017,ICE,CrewVan,Alemania,2,2025-01-01 08:33:00,2025-01-01 16:43:00,2025-01-01 18:04:00,2025-01-01 20:43:00,,,2025-01-01 23:08:00,2025-01-01 23:56:00,CAMION,42.0,460.0,0.0,0.0,53.93666666666667,81,193,15.383333333333333,1
ORD000005,ICE,LargeVan,Iberia,2,2025-01-01 09:11:00,2025-01-01 17:28:00,2025-01-01 18:52:00,2025-01-02 00:17:00,,,2025-01-02 00:41:00,2025-01-02 02:00:00,CAMION,24.0,460.0,0.0,0.0,61.083333333333336,84,103,16.816666666666666,1
ORD000022,ICE,CrewVan,Alemania,2,2025-01-01 09:14:00,2025-01-01 18:01:00,2025-01-01 19:28:00,2025-01-01 22:02:00,,,2025-01-01 23:47:00,2025-01-02 04:22:00,CAMION,42.0,495.0,0.0,0.0,56.086666666666666,87,380,19.133333333333333,1
ORD000010,ICE,LargeVan,Iberia,2,2025-01-01 09:06:00,2025-01-01 18:08:00,2025-01-01 18:58:00,2025-01-01 23:45:00,,,2025-01-02 02:27:00,2025-01-02 04:57:00,CAMION,24.0,497.0,0.0,0.0,59.330000000000005,50,312,19.85,1
ORD000031,EV,MidVan,Iberia,2,2025-01-01 08:54:00,2025-01-01 18:24:00,2025-01-01 19:19:00,2025-01-01 23:23:00,2025-01-01 20:18:00,2025-01-01 21:10:00,2025-01-02 02:08:00,2025-01-02 05:32:00,CAMION,24.0,534.0,41.78,0.0,62.15,55,502,20.633333333333333,1
ORD000025,ICE,LargeVan,Italia,2,2025-01-01 10:24:00,2025-01-01 19:27:00,2025-01-01 21:16:00,2025-01-02 00:49:00,,,2025-01-02 02:33:00,2025-01-02 06:24:00,CAMION,48.0,505.0,0.0,0.0,52.54333333333333,109,335,20.0,1
ORD000018,ICE,LargeVan,Italia,1,2025-01-01 10:17:00,2025-01-01 19:44:00,2025-01-01 20:54:00,2025-01-02 01:21:00,,,2025-01-02 04:07:00,2025-01-02 05:05:00,CAMION,48.0,539.0,0.0,0.0,58.46,70,224,18.8,1
ORD000004,ICE,MidVan,Francia,3,2025-01-01 11:59:00,2025-01-01 20:01:00,2025-01-01 21:51:00,2025-01-02 01:36:00,,,2025-01-02 03:20:00,2025-01-02 05:15:00,CAMION,30.0,442.0,0.0,0.0,61.813333333333325,110,219,17.266666666666666,1
ORD000023,ICE,LargeVan,Benelux,2,2025-01-01 14:04:00,2025-01-01 21:51:00,2025-01-01 23:22:00,2025-01-02 01:11:00,,,2025-01-02 03:05:00,2025-01-02 03:46:00,TREN,36.0,441.0,0.0,0.0,61.88666666666666,91,155,13.7,1
ORD000008,EV,LargeVan,Alemania,1,2025-01-01 13:10:00,2025-01-01 22:43:00,2025-01-01 23:47:00,2025-01-02 09:22:00,2025-01-02 06:10:00,2025-01-02 07:25:00,2025-01-02 10:19:00,2025-01-02 12:09:00,CAMION,42.0,542.0,51.44,10.0,64.89666666666666,64,284,22.983333333333334,1
ORD000016,EV,MidVan,Alemania,2,2025-01-01 13:55:00,2025-01-01 23:03:00,2025-01-02 00:17:00,2025-01-02 09:48:00,2025-01-02 06:00:00,2025-01-02 07:59:00,2025-01-02 10:47:00,2025-01-02 17:08:00,TREN,42.0,513.0,76.84,0.0,64.78333333333333,74,549,27.216666666666665,1
ORD000021,ICE,MidVan,Alemania,2,2025-01-01 18:05:00,2025-01-02 01:33:00,2025-01-02 02:43:00,2025-01-02 06:37:00,,,2025-01-02 07:07:00,2025-01-02 10:14:00,TREN,42.0,416.0,0.0,0.0,64.27333333333333,70,217,16.15,1
ORD000024,ICE,MidVan,Italia,2,2025-01-01 18:19:00,2025-01-02 02:02:00,2025-01-02 03:23:00,2025-01-02 08:52:00,,,2025-01-02 09:45:00,2025-01-02 10:49:00,CAMION,48.0,407.0,0.0,0.0,60.26,81,117,16.5,1
ORD000003,ICE,CrewVan,Iberia,1,2025-01-01 18:42:00,2025-01-02 02:34:00,2025-01-02 03:21:00,2025-01-02 08:22:00,,,2025-01-02 11:07:00,2025-01-02 11:27:00,CAMION,24.0,445.0,0.0,0.0,61.86666666666667,47,185,16.75,1
ORD000006,ICE,MidVan,Benelux,1,2025-01-01 19:12:00,2025-01-02 02:55:00,2025-01-02 04:03:00,2025-01-02 06:53:00,,,2025-01-02 08:50:00,2025-01-02 12:35:00,CAMION,36.0,427.0,0.0,0.0,59.43333333333334,68,342,17.383333333333333,1
ORD000015,EV,CrewVan,Francia,3,2025-01-01 18:35:00,2025-01-02 03:47:00,2025-01-02 04:37:00,2025-01-02 09:09:00,2025-01-02 06:24:00,2025-01-02 08:09:00,2025-01-02 11:40:00,2025-01-02 12:04:00,TREN,30.0,515.0,57.65,0.0,65.68,50,235,17.483333333333334,1
ORD000035,EV,CrewVan,Benelux,1,2025-01-01 20:53:00,2025-01-02 04:31:00,2025-01-02 05:10:00,2025-01-02 11:13:00,2025-01-02 08:15:00,2025-01-02 09:48:00,2025-01-02 12:38:00,2025-01-02 15:35:00,TREN,36.0,438.0,52.67,0.0,64.20666666666666,39,347,18.7,1
ORD000002,ICE,MidVan,Francia,2,2025-01-01 20:44:00,2025-01-02 04:41:00,2025-01-02 06:18:00,2025-01-02 11:28:00,,,2025-01-02 14:07:00,2025-01-02 16:18:00,TREN,30.0,437.0,0.0,0.0,59.883333333333326,97,290,19.566666666666666,1
ORD000026,ICE,MidVan,Italia,3,2025-01-01 21:53:00,2025-01-02 06:17:00,2025-01-02 06:45:00,2025-01-02 12:31:00,,,2025-01-02 15:11:00,2025-01-02 17:02:00,CAMION,48.0,483.0,0.0,0.0,58.99,28,271,19.15,1
ORD000029,ICE,LargeVan,Iberia,3,2025-01-01 21:26:00,2025-01-02 06:39:00,2025-01-02 07:31:00,2025-01-02 10:33:00,,,2025-01-02 13:12:00,2025-01-02 18:30:00,CAMION,24.0,513.0,0.0,0.0,56.89666666666667,52,477,21.066666666666666,1
ORD000027,EV,LargeVan,Alemania,2,2025-01-01 21:57:00,2025-01-02 07:35:00,2025-01-02 08:34:00,2025-01-02 12:18:00,2025-01-02 09:56:00,2025-01-02 10:46:00,2025-01-02 14:54:00,2025-01-02 18:12:00,CAMION,42.0,545.0,37.91,0.0,66.99666666666667,59,446,20.25,1
ORD000011,EV,MidVan,Iberia,2,2025-01-01 23:30:00,2025-01-02 07:49:00,2025-01-02 08:58:00,2025-01-02 12:52:00,2025-01-02 10:16:00,2025-01-02 11:15:00,2025-01-02 14:37:00,2025-01-02 19:30:00,CAMION,24.0,467.0,45.52,33.0,62.24666666666667,69,495,20.0,1
ORD000014,EV,LargeVan,Francia,2,2025-01-01 21:36:00,2025-01-02 08:00:00,2025-01-02 09:07:00,2025-01-02 13:34:00,2025-01-02 11:03:00,2025-01-02 12:52:00,2025-01-02 14:50:00,2025-01-02 18:24:00,CAMION,30.0,565.0,55.39,42.0,63.599999999999994,67,332,20.8,1
ORD000009,ICE,MidVan,Francia,3,2025-01-02 01:18:00,2025-01-02 08:19:00,2025-01-02 09:38:00,2025-01-02 14:30:00,,,2025-01-02 16:27:00,2025-01-02 21:35:00,CAMION,30.0,403.0,0.0,0.0,56.296666666666674,79,425,20.283333333333335,1
ORD000001,ICE,CrewVan,Benelux,2,2025-01-02 00:53:00,2025-01-02 08:08:00,2025-01-02 09:05:00,2025-01-02 13:38:00,,,2025-01-02 14:03:00,2025-01-02 15:48:00,TREN,36.0,404.0,0.0,0.0,66.63333333333333,57,130,14.916666666666666,1
ORD000030,ICE,CrewVan,Iberia,1,2025-01-02 00:14:00,2025-01-02 08:37:00,2025-01-02 09:44:00,2025-01-02 15:45:00,,,2025-01-02 18:30:00,2025-01-02 22:04:00,CAMION,24.0,484.0,0.0,0.0,59.07999999999999,67,379,21.833333333333332,1
ORD000069,ICE,MidVan,Benelux,1,2025-01-02 01:33:00,2025-01-02 09:14:00,2025-01-02 10:39:00,2025-01-02 15:27:00,,,2025-01-02 17:40:00,2025-01-02 20:25:00,TREN,36.0,408.0,0.0,0.0,68.74666666666666,85,298,18.866666666666667,1
ORD000019,ICE,CrewVan,Benelux,1,2025-01-02 01:57:00,2025-01-02 09:07:00,2025-01-02 10:01:00,2025-01-02 12:54:00,,,2025-01-02 15:39:00,2025-01-02 18:43:00,CAMION,36.0,394.0,0.0,0.0,63.01333333333333,54,349,16.766666666666666,1
ORD000070,ICE,LargeVan,Francia,2,2025-01-02 01:21:00,2025-01-02 09:57:00,2025-01-02 11:41:00,2025-01-02 16:27:00,,,2025-01-02 19:11:00,2025-01-02 21:01:00,TREN,30.0,480.0,0.0,0.0,60.88333333333335,104,274,19.666666666666668,1
ORD000034,ICE,CrewVan,Francia,2,2025-01-02 01:22:00,2025-01-02 10:11:00,2025-01-02 10:47:00,2025-01-02 17:11:00,,,2025-01-02 19:25:00,2025-01-02 20:22:00,CAMION,30.0,487.0,0.0,0.0,64.27,36,191,19.0,1
ORD000040,ICE,MidVan,Iberia,2,2025-01-02 04:20:00,2025-01-02 12:09:00,2025-01-02 13:48:00,2025-01-02 17:28:00,,,2025-01-02 18:44:00,2025-01-02 21:17:00,CAMION,24.0,437.0,0.0,0.0,64.08333333333333,99,229,16.95,1
ORD000068,ICE,LargeVan,Iberia,3,2025-01-02 04:38:00,2025-01-02 12:50:00,2025-01-02 13:21:00,2025-01-02 20:35:00,,,2025-01-02 21:20:00,2025-01-03 01:44:00,CAMION,24.0,454.0,0.0,0.0,59.79333333333333,31,309,21.1,1
ORD000046,ICE,MidVan,Benelux,3,2025-01-02 07:08:00,2025-01-02 14:46:00,2025-01-02 16:22:00,2025-01-02 20:21:00,,,2025-01-02 22:08:00,2025-01-03 00:45:00,TREN,36.0,421.0,0.0,0.0,62.81666666666666,96,264,17.616666666666667,1
ORD000067,ICE,LargeVan,Alemania,2,2025-01-02 06:42:00,2025-01-02 14:57:00,2025-01-02 15:28:00,2025-01-02 19:23:00,,,2025-01-02 19:49:00,2025-01-02 22:49:00,CAMION,42.0,446.0,0.0,0.0,61.6,31,206,16.116666666666667,1
ORD000037,ICE,MidVan,Italia,1,2025-01-02 06:41:00,2025-01-02 15:24:00,2025-01-02 16:57:00,2025-01-02 20:33:00,,,2025-01-02 22:57:00,2025-01-03 03:47:00,CAMION,48.0,476.0,0.0,0.0,60.32333333333333,93,434,21.1,1
ORD000053,ICE,MidVan,Francia,3,2025-01-02 09:53:00,2025-01-02 17:34:00,2025-01-02 18:51:00,2025-01-03 00:37:00,,,2025-01-03 02:46:00,2025-01-03 06:26:00,TREN,30.0,417.0,0.0,0.0,56.35666666666666,77,349,20.55,1
ORD000036,ICE,LargeVan,Alemania,3,2025-01-02 10:00:00,2025-01-02 17:42:00,2025-01-02 19:09:00,2025-01-02 23:29:00,,,2025-01-03 01:26:00,2025-01-03 02:52:00,CAMION,42.0,417.0,0.0,0.0,53.01666666666667,87,203,16.866666666666667,1
ORD000065,EV,LargeVan,Alemania,3,2025-01-02 09:12:00,2025-01-02 17:51:00,2025-01-02 19:30:00,2025-01-03 00:31:00,2025-01-02 21:25:00,2025-01-02 23:01:00,2025-01-03 00:58:00,2025-01-03 07:26:00,TREN,42.0,491.0,52.34,4.0,79.62666666666667,99,505,22.233333333333334,1
ORD000047,EV,CrewVan,Italia,3,2025-01-02 10:13:00,2025-01-02 19:14:00,2025-01-02 20:37:00,2025-01-03 00:39:00,2025-01-02 21:59:00,2025-01-02 23:18:00,2025-01-03 02:21:00,2025-01-03 05:51:00,TREN,48.0,490.0,57.6,0.0,67.08333333333333,83,393,19.633333333333333,1
ORD000062,EV,LargeVan,Benelux,3,2025-01-02 09:33:00,2025-01-02 19:26:00,2025-01-02 20:01:00,2025-01-02 22:51:00,2025-01-02 21:19:00,2025-01-02 22:11:00,2025-01-03 00:51:00,2025-01-03 04:43:00,CAMION,36.0,562.0,40.06,40.0,62.06,35,392,19.166666666666668,1
ORD000049,ICE,LargeVan,Francia,1,2025-01-02 12:32:00,2025-01-02 20:05:00,2025-01-02 21:15:00,2025-01-02 23:28:00,,,2025-01-03 01:23:00,2025-01-03 03:52:00,CAMION,30.0,409.0,0.0,0.0,59.38333333333333,70,264,15.333333333333334,1
ORD000066,ICE,CrewVan,Italia,2,2025-01-02 12:14:00,2025-01-02 20:54:00,2025-01-02 22:23:00,2025-01-03 02:45:00,,,2025-01-03 04:10:00,2025-01-03 07:32:00,CAMION,48.0,485.0,0.0,0.0,56.39666666666667,89,287,19.3,1
