order_id,tipo_propulsion,destino,prioridad_cliente,fecha_referencia,turno_referencia,ts_salida_real,espera_patio_min,espera_carga_min,espera_salida_min,espera_total_min,lead_time_total_horas,utilizacion_cargadores_turno,indice_congestion_patio,buffer_energia_kwh,curtailment_flag,slack_horas_sla,riesgo_bloqueo_salida,prioridad_norm,score_readiness_operativa,score_riesgo_cuello_botella,score_prioridad_despacho,recomendacion_operativa
ORD000032,EV,Italia,2,2025-01-01,B,2025-01-01 18:26:00,77,23.0,225,325.0,16.25,0.0045138888888888885,0.6603000000000001,1897.9,0,46.71666666666667,27.936666666666675,0.6,45.75905,50.055755555555564,53.5094225,Mantener secuencia planificada con seguimiento estándar.
ORD000012,ICE,Benelux,3,2025-01-01,B,2025-01-01 20:43:00,23,0.0,324,347.0,17.566666666666666,0.0045138888888888885,0.5764666666666667,2010.72,0,32.4,26.60472222222222,0.3,46.39605,47.84708888888889,46.2925725,Mantener secuencia planificada con seguimiento estándar.
ORD000028,ICE,Iberia,1,2025-01-01,B,2025-01-01 21:31:00,72,0.0,74,146.0,14.166666666666666,0.0045138888888888885,0.6239333333333333,2263.67,0,23.433333333333334,20.812222222222225,1.0,57.81935,43.59845555555556,54.3825325,Mantener secuencia planificada con seguimiento estándar.
ORD000025,ICE,Italia,2,2025-01-02,A,2025-01-02 06:24:00,109,0.0,335,444.0,20.0,0.05295138888888889,0.5254333333333333,1657.21,0,44.15,30.246944444444445,0.6,40.686475,50.29737222222222,55.39355125,Mantener secuencia planificada con seguimiento estándar.
ORD000008,EV,Alemania,1,2025-01-02,A,2025-01-02 12:09:00,64,10.0,284,358.0,22.983333333333334,0.05295138888888889,0.6489666666666666,1674.3700000000001,0,40.166666666666664,30.34916666666666,1.0,43.096675000000005,51.98917222222221,63.31129124999999,Mantener secuencia planificada con seguimiento estándar.
ORD000016,EV,Alemania,2,2025-01-02,B,2025-01-02 17:08:00,74,0.0,549,623.0,27.216666666666665,0.01970486111111111,0.6478333333333333,1674.3700000000001,0,35.65,38.458333333333336,0.6,27.1598125,54.57806944444444,62.054196874999995,Mantener secuencia planificada con seguimiento estándar.
ORD000021,ICE,Alemania,2,2025-01-02,A,2025-01-02 10:14:00,70,0.0,217,287.0,16.15,0.05295138888888889,0.6427333333333333,1674.3700000000001,0,38.88333333333333,27.728055555555553,0.6,47.683775,49.70640555555555,52.67856125,Mantener secuencia planificada con seguimiento estándar.
ORD000024,ICE,Italia,2,2025-01-02,A,2025-01-02 10:49:00,81,0.0,117,198.0,16.5,0.05295138888888889,0.6026,1324.2499999999998,0,46.93333333333333,23.634444444444444,0.6,54.209475,45.74603888888888,48.61240125,Mantener secuencia planificada con seguimiento estándar.
ORD000003,ICE,Iberia,1,2025-01-02,A,2025-01-02 11:27:00,47,0.0,185,232.0,16.75,0.05295138888888889,0.6186666666666667,1324.2499999999998,0,23.666666666666668,25.21666666666667,1.0,51.698875,47.28397222222222,58.18318125,Mantener secuencia planificada con seguimiento estándar.
ORD000006,ICE,Benelux,1,2025-01-02,A,2025-01-02 12:35:00,68,0.0,342,410.0,17.383333333333333,0.05295138888888889,0.5943333333333334,1674.3700000000001,0,32.25,30.788888888888888,1.0,41.157875,51.64830555555555,63.83648125,Mantener secuencia planificada con seguimiento estándar.
ORD000015,EV,Francia,3,2025-01-02,A,2025-01-02 12:04:00,50,0.0,235,285.0,17.483333333333334,0.05295138888888889,0.6568,1674.3700000000001,0,29.6,28.010277777777777,0.3,47.471175,50.12633888888889,46.94194125,Mantener secuencia planificada con seguimiento estándar.
ORD000035,EV,Benelux,1,2025-01-02,B,2025-01-02 15:35:00,39,0.0,347,386.0,18.7,0.01970486111111111,0.6420666666666667,1324.2499999999998,0,33.05,30.085,1.0,42.110712500000005,51.64033611111111,63.499401875,Mantener secuencia planificada con seguimiento estándar.
ORD000002,ICE,Francia,2,2025-01-02,B,2025-01-02 16:18:00,97,0.0,290,387.0,19.566666666666666,0.01970486111111111,0.5988333333333332,1838.1200000000001,0,27.816666666666666,29.038888888888884,0.6,43.0858125,50.19956944444444,54.509771875,Mantener secuencia planificada con seguimiento estándar.
ORD000026,ICE,Italia,3,2025-01-02,B,2025-01-02 17:02:00,28,0.0,271,299.0,19.15,0.01970486111111111,0.5899,1772.7899999999997,0,46.15,25.759999999999998,0.3,48.8002125,47.329169444444446,45.218051875,Mantener secuencia planificada con seguimiento estándar.
ORD000029,ICE,Iberia,3,2025-01-02,B,2025-01-02 18:30:00,52,0.0,477,529.0,21.066666666666666,0.01970486111111111,0.5689666666666667,2000.47,0,18.7,33.22277777777778,0.3,34.927612499999995,51.89660277777778,52.128806875,Mantener secuencia planificada con seguimiento estándar.
ORD000027,EV,Alemania,2,2025-01-02,B,2025-01-02 18:12:00,59,0.0,446,505.0,20.25,0.01970486111111111,0.6699666666666667,1387.69,0,38.7,34.91444444444444,0.6,34.0036125,55.330602777777784,59.997506875,Mantener secuencia planificada con seguimiento estándar.
ORD000011,EV,Iberia,2,2025-01-02,B,2025-01-02 19:30:00,69,33.0,495,597.0,20.0,0.01970486111111111,0.6224666666666667,2000.47,0,19.116666666666667,36.92138888888889,0.6,29.3936125,53.715602777777775,60.884256875,Mantener secuencia planificada con seguimiento estándar.
ORD000014,EV,Francia,2,2025-01-02,B,2025-01-02 18:24:00,67,42.0,332,441.0,20.8,0.01970486111111111,0.6359999999999999,1838.1200000000001,0,26.433333333333334,31.84305555555556,0.6,38.81881250000001,53.038236111111104,57.280621874999994,Mantener secuencia planificada con seguimiento estándar.
ORD000009,ICE,Francia,3,2025-01-02,B,2025-01-02 21:35:00,79,0.0,425,504.0,20.283333333333335,0.01970486111111111,0.5629666666666667,1956.0900000000001,0,24.866666666666667,32.20472222222222,0.3,36.6341125,51.69260277777778,51.439731875,Mantener secuencia planificada con seguimiento estándar.
ORD000001,ICE,Benelux,2,2025-01-02,B,2025-01-02 15:48:00,57,0.0,130,187.0,14.916666666666666,0.01970486111111111,0.6663333333333332,1651.33,0,34.25,23.781944444444445,0.6,53.965812500000006,46.66123611111111,49.109521875,Mantener secuencia planificada con seguimiento estándar.
ORD000069,ICE,Benelux,1,2025-01-02,B,2025-01-02 20:25:00,85,0.0,298,383.0,18.866666666666667,0.01970486111111111,0.6874666666666666,1926.0,0,33.25,31.11583333333333,1.0,41.2086125,53.09643611111111,64.470381875,Mantener secuencia planificada con seguimiento estándar.
ORD000019,ICE,Benelux,1,2025-01-02,B,2025-01-02 18:43:00,54,0.0,349,403.0,16.766666666666666,0.01970486111111111,0.6301333333333333,1772.7899999999997,0,32.93333333333333,30.37694444444444,1.0,41.3346125,51.7304361111111,63.811581874999995,Mantener secuencia planificada con seguimiento estándar.
