fecha,turno,dotacion,capacidad_teorica_unidades
2025-01-01,A,109,68
2025-01-01,B,104,70
2025-01-01,C,89,48
2025-01-02,A,109,73
2025-01-02,B,102,66
2025-01-02,C,70,43
2025-01-03,A,107,72
2025-01-03,B,111,81
2025-01-03,C,94,53
2025-01-04,A,109,63
2025-01-04,B,85,71
2025-01-04,C,63,42
2025-01-05,A,94,70
2025-01-05,B,85,64
2025-01-05,C,67,38
2025-01-06,A,113,74
2025-01-06,B,95,65
2025-01-06,C,76,56
2025-01-07,A,115,75
2025-01-07,B,107,67
2025-01-07,C,85,49
2025-01-08,A,102,70
2025-01-08,B,105,70
2025-01-08,C,89,43
2025-01-09,A,110,76
2025-01-09,B,97,71
2025-01-09,C,79,46
2025-01-10,A,119,67
2025-01-10,B,111,67
2025-01-10,C,75,47
2025-01-11,A,91,59
2025-01-11,B,91,50
2025-01-11,C,79,48
2025-01-12,A,106,58
2025-01-12,B,73,57
2025-01-12,C,69,46
2025-01-13,A,108,73
2025-01-13,B,105,62
2025-01-13,C,94,46
2025-01-14,A,113,79
2025-01-14,B,98,70
2025-01-14,C,93,50
