evento_id,timestamp,area,tipo_cuello_botella,severidad,duracion_min,impacto_throughput_proxy,impacto_salida_proxy,causa_probable
BOT_00000190,2025-01-02 11:00:00,PATIO,CONGESTION_PATIO,5,321,0.5366,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00001109,2025-01-02 12:52:00,PRODUCCION,RESTRICCION_CRITICA,4,241,0.4158,0.4678,BAJA_DOTACION
BOT_00000191,2025-01-03 09:00:00,PATIO,CONGESTION_PATIO,5,335,0.6821,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000558,2025-01-04 12:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,128,0.2035,0.4523,DESALINEACION_READINESS_TRANSPORTE
BOT_00000192,2025-01-04 20:00:00,PATIO,CONGESTION_PATIO,5,282,0.6967,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00001110,2025-01-05 10:40:00,LOGISTICA,RESTRICCION_CRITICA,5,276,0.5079,0.5714,LIMITACION_TRANSPORTISTA
BOT_00000559,2025-01-05 20:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,187,0.2037,0.4599,DESALINEACION_READINESS_TRANSPORTE
BOT_00000193,2025-01-05 21:00:00,PATIO,CONGESTION_PATIO,5,295,0.698,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000194,2025-01-06 12:00:00,PATIO,CONGESTION_PATIO,5,306,0.6507,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000560,2025-01-06 14:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,197,0.2139,0.4344,DESALINEACION_READINESS_TRANSPORTE
BOT_00000195,2025-01-07 18:00:00,PATIO,CONGESTION_PATIO,5,275,0.6771,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00001111,2025-01-08 01:24:00,PATIO,RESTRICCION_CRITICA,4,241,0.4119,0.4634,BLOQUEO_POSICIONES
BOT_00000196,2025-01-08 11:00:00,PATIO,CONGESTION_PATIO,5,279,0.6781,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000197,2025-01-09 13:00:00,PATIO,CONGESTION_PATIO,5,245,0.6635,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000561,2025-01-09 20:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,221,0.2227,0.4208,DESALINEACION_READINESS_TRANSPORTE
BOT_00000562,2025-01-10 10:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,119,0.2148,0.4177,DESALINEACION_READINESS_TRANSPORTE
BOT_00000198,2025-01-10 18:00:00,PATIO,CONGESTION_PATIO,5,278,0.6952,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00001112,2025-01-10 23:15:00,LOGISTICA,RESTRICCION_CRITICA,4,202,0.4004,0.4504,LIMITACION_TRANSPORTISTA
BOT_00000563,2025-01-11 16:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,171,0.2179,0.4071,DESALINEACION_READINESS_TRANSPORTE
BOT_00000199,2025-01-11 16:00:00,PATIO,CONGESTION_PATIO,5,252,0.6921,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000564,2025-01-12 10:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,148,0.2141,0.427,DESALINEACION_READINESS_TRANSPORTE
BOT_00000200,2025-01-12 14:00:00,PATIO,CONGESTION_PATIO,5,315,0.677,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000201,2025-01-13 19:00:00,PATIO,CONGESTION_PATIO,5,249,0.7008,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000202,2025-01-14 17:00:00,PATIO,CONGESTION_PATIO,5,263,0.6939,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00001113,2025-01-15 09:29:00,PATIO,RESTRICCION_CRITICA,5,263,0.4761,0.5356,REORGANIZACION_FLUJO
BOT_00000565,2025-01-15 15:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,181,0.2161,0.4238,DESALINEACION_READINESS_TRANSPORTE
BOT_00000203,2025-01-15 22:00:00,PATIO,CONGESTION_PATIO,5,317,0.636,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000204,2025-01-16 20:00:00,PATIO,CONGESTION_PATIO,5,298,0.6779,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00001114,2025-01-17 16:27:00,PATIO,RESTRICCION_CRITICA,4,232,0.4105,0.4618,REORGANIZACION_FLUJO
BOT_00000205,2025-01-17 18:00:00,PATIO,CONGESTION_PATIO,5,266,0.7011,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00001115,2025-01-18 09:46:00,LOGISTICA,RESTRICCION_CRITICA,4,236,0.4206,0.4732,LIMITACION_TRANSPORTISTA
BOT_00000566,2025-01-18 17:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,171,0.2198,0.4174,DESALINEACION_READINESS_TRANSPORTE
BOT_00000206,2025-01-18 22:00:00,PATIO,CONGESTION_PATIO,5,280,0.6887,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000567,2025-01-19 11:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,220,0.2126,0.4179,DESALINEACION_READINESS_TRANSPORTE
BOT_00001116,2025-01-19 14:02:00,LOGISTICA,RESTRICCION_CRITICA,4,237,0.411,0.4624,INCIDENCIA_DOCUMENTAL
BOT_00001117,2025-01-19 16:46:00,LOGISTICA,RESTRICCION_CRITICA,4,240,0.3875,0.4359,LIMITACION_TRANSPORTISTA
BOT_00000207,2025-01-19 20:00:00,PATIO,CONGESTION_PATIO,5,307,0.6875,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00001118,2025-01-20 00:11:00,PATIO,RESTRICCION_CRITICA,4,239,0.427,0.4804,REORGANIZACION_FLUJO
BOT_00001119,2025-01-20 04:48:00,ENERGIA,RESTRICCION_CRITICA,5,282,0.5098,0.5735,CURTAILMENT_REDES
BOT_00000208,2025-01-20 10:00:00,PATIO,CONGESTION_PATIO,5,269,0.7062,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000568,2025-01-20 14:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,168,0.216,0.4315,DESALINEACION_READINESS_TRANSPORTE
BOT_00000569,2025-01-21 15:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,173,0.2312,0.3986,DESALINEACION_READINESS_TRANSPORTE
BOT_00000209,2025-01-21 18:00:00,PATIO,CONGESTION_PATIO,5,300,0.6447,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00001120,2025-01-22 01:11:00,PATIO,RESTRICCION_CRITICA,4,231,0.3812,0.4288,REORGANIZACION_FLUJO
BOT_00000570,2025-01-22 10:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,204,0.2176,0.4143,DESALINEACION_READINESS_TRANSPORTE
BOT_00001121,2025-01-22 10:54:00,PRODUCCION,RESTRICCION_CRITICA,4,187,0.4037,0.4541,MICROPARADAS_LINEA
BOT_00000210,2025-01-22 21:00:00,PATIO,CONGESTION_PATIO,5,320,0.6907,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000211,2025-01-23 09:00:00,PATIO,CONGESTION_PATIO,5,289,0.6475,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000571,2025-01-23 15:00:00,LOGISTICA,BLOQUEO_EXPEDICION,4,174,0.2664,0.5418,DESALINEACION_READINESS_TRANSPORTE
BOT_00000572,2025-01-24 10:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,202,0.2204,0.4098,DESALINEACION_READINESS_TRANSPORTE
BOT_00001122,2025-01-24 18:12:00,CARGA,RESTRICCION_CRITICA,5,274,0.5205,0.5855,MANTENIMIENTO_CARGA
BOT_00000212,2025-01-24 20:00:00,PATIO,CONGESTION_PATIO,5,252,0.6976,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000213,2025-01-25 10:00:00,PATIO,CONGESTION_PATIO,5,297,0.6825,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000573,2025-01-26 11:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,151,0.2107,0.4619,DESALINEACION_READINESS_TRANSPORTE
BOT_00000214,2025-01-26 13:00:00,PATIO,CONGESTION_PATIO,5,310,0.7063,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000215,2025-01-27 16:00:00,PATIO,CONGESTION_PATIO,5,288,0.6651,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000574,2025-01-27 22:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,132,0.2024,0.4488,DESALINEACION_READINESS_TRANSPORTE
BOT_00000575,2025-01-28 12:00:00,LOGISTICA,BLOQUEO_EXPEDICION,4,181,0.2626,0.5845,DESALINEACION_READINESS_TRANSPORTE
BOT_00000216,2025-01-28 21:00:00,PATIO,CONGESTION_PATIO,5,275,0.6693,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000576,2025-01-29 14:00:00,LOGISTICA,BLOQUEO_EXPEDICION,4,198,0.2654,0.5692,DESALINEACION_READINESS_TRANSPORTE
BOT_00000217,2025-01-29 22:00:00,PATIO,CONGESTION_PATIO,5,293,0.6678,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000577,2025-01-30 16:00:00,LOGISTICA,BLOQUEO_EXPEDICION,4,254,0.268,0.5546,DESALINEACION_READINESS_TRANSPORTE
BOT_00000218,2025-01-30 21:00:00,PATIO,CONGESTION_PATIO,5,281,0.6779,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000578,2025-01-31 12:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,147,0.2068,0.4437,DESALINEACION_READINESS_TRANSPORTE
BOT_00000219,2025-01-31 20:00:00,PATIO,CONGESTION_PATIO,5,277,0.6578,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000579,2025-02-01 19:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,143,0.2106,0.4994,DESALINEACION_READINESS_TRANSPORTE
BOT_00000220,2025-02-01 22:00:00,PATIO,CONGESTION_PATIO,5,261,0.662,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000221,2025-02-02 15:00:00,PATIO,CONGESTION_PATIO,5,325,0.6974,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000580,2025-02-02 17:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,167,0.1999,0.4261,DESALINEACION_READINESS_TRANSPORTE
BOT_00001123,2025-02-03 07:34:00,PATIO,RESTRICCION_CRITICA,4,254,0.4021,0.4524,BLOQUEO_POSICIONES
BOT_00000222,2025-02-03 11:00:00,PATIO,CONGESTION_PATIO,5,244,0.6655,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000581,2025-02-03 19:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,191,0.2026,0.4524,DESALINEACION_READINESS_TRANSPORTE
BOT_00000223,2025-02-04 17:00:00,PATIO,CONGESTION_PATIO,5,309,0.6851,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000224,2025-02-05 12:00:00,PATIO,CONGESTION_PATIO,5,277,0.6459,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000225,2025-02-06 12:00:00,PATIO,CONGESTION_PATIO,5,247,0.6725,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00001125,2025-02-06 15:29:00,PATIO,RESTRICCION_CRITICA,4,238,0.4137,0.4654,REORGANIZACION_FLUJO
BOT_00001124,2025-02-06 17:14:00,PATIO,RESTRICCION_CRITICA,4,198,0.4421,0.4973,SATURACION_ZONA
BOT_00000582,2025-02-06 21:00:00,LOGISTICA,BLOQUEO_EXPEDICION,4,199,0.2564,0.5964,DESALINEACION_READINESS_TRANSPORTE
BOT_00000226,2025-02-07 16:00:00,PATIO,CONGESTION_PATIO,5,264,0.7117,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000583,2025-02-07 22:00:00,LOGISTICA,BLOQUEO_EXPEDICION,4,153,0.2642,0.6004,DESALINEACION_READINESS_TRANSPORTE
BOT_00000584,2025-02-08 10:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,183,0.219,0.4292,DESALINEACION_READINESS_TRANSPORTE
BOT_00000227,2025-02-08 22:00:00,PATIO,CONGESTION_PATIO,5,276,0.668,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000585,2025-02-09 14:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,178,0.215,0.4567,DESALINEACION_READINESS_TRANSPORTE
BOT_00000228,2025-02-09 21:00:00,PATIO,CONGESTION_PATIO,5,318,0.661,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00001126,2025-02-10 12:27:00,LOGISTICA,RESTRICCION_CRITICA,5,300,0.4905,0.5518,FALTA_SLOT_TRANSPORTE
BOT_00000229,2025-02-10 19:00:00,PATIO,CONGESTION_PATIO,5,254,0.672,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000586,2025-02-11 12:00:00,LOGISTICA,BLOQUEO_EXPEDICION,4,227,0.2691,0.5587,DESALINEACION_READINESS_TRANSPORTE
BOT_00001127,2025-02-11 19:39:00,CARGA,RESTRICCION_CRITICA,4,234,0.389,0.4376,AVERIA_CARGADOR
BOT_00000230,2025-02-11 21:00:00,PATIO,CONGESTION_PATIO,5,275,0.6525,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00001128,2025-02-12 11:56:00,CARGA,RESTRICCION_CRITICA,4,186,0.4174,0.4695,MANTENIMIENTO_CARGA
BOT_00000231,2025-02-12 14:00:00,PATIO,CONGESTION_PATIO,5,318,0.6879,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000587,2025-02-12 18:00:00,LOGISTICA,BLOQUEO_EXPEDICION,4,217,0.2688,0.5822,DESALINEACION_READINESS_TRANSPORTE
BOT_00000588,2025-02-13 13:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,131,0.2097,0.4867,DESALINEACION_READINESS_TRANSPORTE
BOT_00000232,2025-02-13 22:00:00,PATIO,CONGESTION_PATIO,5,259,0.6692,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00001129,2025-02-14 05:31:00,CARGA,RESTRICCION_CRITICA,5,289,0.4906,0.5519,CAPACIDAD_CARGA_LIMITADA
BOT_00000233,2025-02-14 12:00:00,PATIO,CONGESTION_PATIO,5,304,0.6801,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000589,2025-02-14 21:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,155,0.1961,0.4444,DESALINEACION_READINESS_TRANSPORTE
BOT_00001130,2025-02-15 01:39:00,PRODUCCION,RESTRICCION_CRITICA,4,218,0.3924,0.4415,BAJA_DOTACION
BOT_00001131,2025-02-15 06:13:00,PRODUCCION,RESTRICCION_CRITICA,4,258,0.428,0.4815,RETRABAJO_ELEVADO
BOT_00000234,2025-02-15 21:00:00,PATIO,CONGESTION_PATIO,5,333,0.6673,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00001132,2025-02-16 00:07:00,PATIO,RESTRICCION_CRITICA,5,266,0.4744,0.5337,SATURACION_ZONA
BOT_00000235,2025-02-16 11:00:00,PATIO,CONGESTION_PATIO,5,259,0.69,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000590,2025-02-16 14:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,135,0.1964,0.4238,DESALINEACION_READINESS_TRANSPORTE
BOT_00000591,2025-02-17 18:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,142,0.2061,0.4129,DESALINEACION_READINESS_TRANSPORTE
BOT_00000236,2025-02-17 20:00:00,PATIO,CONGESTION_PATIO,5,299,0.6273,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000237,2025-02-18 09:00:00,PATIO,CONGESTION_PATIO,5,287,0.6695,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000592,2025-02-18 11:00:00,LOGISTICA,BLOQUEO_EXPEDICION,4,203,0.2685,0.596,DESALINEACION_READINESS_TRANSPORTE
BOT_00001133,2025-02-18 23:46:00,LOGISTICA,RESTRICCION_CRITICA,4,223,0.4165,0.4685,LIMITACION_TRANSPORTISTA
BOT_00000593,2025-02-19 11:00:00,LOGISTICA,BLOQUEO_EXPEDICION,4,201,0.2902,0.6229,DESALINEACION_READINESS_TRANSPORTE
BOT_00000238,2025-02-19 13:00:00,PATIO,CONGESTION_PATIO,5,326,0.6924,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000239,2025-02-20 11:00:00,PATIO,CONGESTION_PATIO,5,327,0.6496,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000594,2025-02-20 11:00:00,LOGISTICA,BLOQUEO_EXPEDICION,4,194,0.2795,0.5686,DESALINEACION_READINESS_TRANSPORTE
BOT_00000595,2025-02-21 18:00:00,LOGISTICA,BLOQUEO_EXPEDICION,4,196,0.2688,0.6,DESALINEACION_READINESS_TRANSPORTE
BOT_00000240,2025-02-21 21:00:00,PATIO,CONGESTION_PATIO,5,283,0.6898,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000596,2025-02-22 12:00:00,LOGISTICA,BLOQUEO_EXPEDICION,4,197,0.261,0.6228,DESALINEACION_READINESS_TRANSPORTE
BOT_00000241,2025-02-22 21:00:00,PATIO,CONGESTION_PATIO,5,299,0.6735,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00001134,2025-02-23 10:54:00,CARGA,RESTRICCION_CRITICA,4,211,0.4126,0.4641,CAPACIDAD_CARGA_LIMITADA
BOT_00000597,2025-02-23 13:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,182,0.2078,0.4744,DESALINEACION_READINESS_TRANSPORTE
BOT_00000242,2025-02-23 20:00:00,PATIO,CONGESTION_PATIO,5,248,0.6897,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000243,2025-02-24 14:00:00,PATIO,CONGESTION_PATIO,5,283,0.6549,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000598,2025-02-24 19:00:00,LOGISTICA,BLOQUEO_EXPEDICION,4,208,0.2605,0.5571,DESALINEACION_READINESS_TRANSPORTE
BOT_00001135,2025-02-25 05:12:00,LOGISTICA,RESTRICCION_CRITICA,4,242,0.4139,0.4657,FALTA_SLOT_TRANSPORTE
BOT_00000244,2025-02-25 14:00:00,PATIO,CONGESTION_PATIO,5,298,0.6484,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00001136,2025-02-25 16:35:00,PATIO,RESTRICCION_CRITICA,4,218,0.4173,0.4694,SATURACION_ZONA
BOT_00000599,2025-02-25 19:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,152,0.2181,0.4725,DESALINEACION_READINESS_TRANSPORTE
BOT_00000245,2025-02-26 18:00:00,PATIO,CONGESTION_PATIO,5,334,0.6607,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000600,2025-02-26 19:00:00,LOGISTICA,BLOQUEO_EXPEDICION,4,229,0.2716,0.5611,DESALINEACION_READINESS_TRANSPORTE
BOT_00000246,2025-02-27 13:00:00,PATIO,CONGESTION_PATIO,5,329,0.7094,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000601,2025-02-27 19:00:00,LOGISTICA,BLOQUEO_EXPEDICION,4,172,0.2732,0.5547,DESALINEACION_READINESS_TRANSPORTE
BOT_00000247,2025-02-28 09:00:00,PATIO,CONGESTION_PATIO,5,272,0.6602,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000602,2025-02-28 14:00:00,LOGISTICA,BLOQUEO_EXPEDICION,4,128,0.2671,0.5802,DESALINEACION_READINESS_TRANSPORTE
BOT_00000248,2025-03-01 12:00:00,PATIO,CONGESTION_PATIO,5,304,0.6931,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000603,2025-03-01 16:00:00,LOGISTICA,BLOQUEO_EXPEDICION,3,185,0.2118,0.506,DESALINEACION_READINESS_TRANSPORTE
BOT_00000604,2025-03-02 15:00:00,LOGISTICA,BLOQUEO_EXPEDICION,4,226,0.2553,0.6136,DESALINEACION_READINESS_TRANSPORTE
BOT_00001137,2025-03-02 16:50:00,ENERGIA,RESTRICCION_CRITICA,4,248,0.4086,0.4597,CURTAILMENT_REDES
