evento_id,timestamp,area,tipo_cuello_botella,severidad,duracion_min,impacto_throughput_proxy,impacto_salida_proxy,causa_probable
BOT_00000421,2025-01-02 11:00:00,LOGISTICA,BLOQUEO_EXPEDICION,5,270,0.9,0.4641,DESALINEACION_READINESS_TRANSPORTE
BOT_00000145,2025-01-02 13:00:00,PATIO,CONGESTION_PATIO,5,287,0.5544,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000851,2025-01-03 11:56:00,PATIO,RESTRICCION_CRITICA,4,224,0.3804,0.4279,REORGANIZACION_FLUJO
BOT_00000146,2025-01-03 18:00:00,PATIO,CONGESTION_PATIO,5,307,0.6778,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000422,2025-01-03 19:00:00,LOGISTICA,BLOQUEO_EXPEDICION,5,180,0.9,0.4617,DESALINEACION_READINESS_TRANSPORTE
BOT_00000147,2025-01-04 11:00:00,PATIO,CONGESTION_PATIO,5,249,0.6685,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000423,2025-01-04 20:00:00,LOGISTICA,BLOQUEO_EXPEDICION,5,236,0.9,0.4755,DESALINEACION_READINESS_TRANSPORTE
BOT_00000148,2025-01-05 10:00:00,PATIO,CONGESTION_PATIO,5,261,0.6805,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000149,2025-01-06 18:00:00,PATIO,CONGESTION_PATIO,5,308,0.6665,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000424,2025-01-06 21:00:00,LOGISTICA,BLOQUEO_EXPEDICION,5,257,0.9,0.4761,DESALINEACION_READINESS_TRANSPORTE
BOT_00000852,2025-01-07 10:55:00,ENERGIA,RESTRICCION_CRITICA,5,211,0.5145,0.5788,ALERTA_TERMICA
BOT_00000150,2025-01-07 11:00:00,PATIO,CONGESTION_PATIO,5,266,0.6468,0.99,BLOQUEO_INTERNO_Y_REUBICACION
BOT_00000425,2025-01-07 19:00:00,LOGISTICA,BLOQUEO_EXPEDICION,5,244,0.9,0.4688,DESALINEACION_READINESS_TRANSPORTE
BOT_00000426,2025-01-08 12:00:00,LOGISTICA,BLOQUEO_EXPEDICION,5,211,0.9,0.4767,DESALINEACION_READINESS_TRANSPORTE
BOT_00000151,2025-01-08 22:00:00,PATIO,CONGESTION_PATIO,5,238,0.6847,0.99,BLOQUEO_INTERNO_Y_REUBICACION
