recurso_id,tipo_recurso,area,capacidad_nominal,capacidad_disponible,restriccion_actual_flag
REC_PRD_LINEA_1,LINEA_PRODUCCION,PRODUCCION,78.0,66.09,0
REC_PRD_LINEA_2,LINEA_PRODUCCION,PRODUCCION,72.0,60.1,0
REC_PRD_LINEA_3,LINEA_PRODUCCION,PRODUCCION,64.0,53.08,0
REC_PATIO_NORTE,ESPACIO_PATIO,PATIO,260.0,242.25,0
REC_PATIO_SUR,ESPACIO_PATIO,PATIO,240.0,224.55,0
REC_PATIO_ESTE,ESPACIO_PATIO,PATIO,220.0,202.47,0
REC_PATIO_OESTE,ESPACIO_PATIO,PATIO,210.0,206.05,0
REC_CARGA_CLUSTER_A,CARGADORES,CARGA,12.0,9.94,1
REC_CARGA_CLUSTER_B,CARGADORES,CARGA,10.0,8.8,1
REC_CARGA_CLUSTER_C,CARGADORES,CARGA,10.0,8.59,1
REC_LOG_MUELLES_CAMION,MUELLE_SALIDA,LOGISTICA,18.0,17.61,0
REC_LOG_TERMINAL_TREN,TERMINAL_SALIDA,LOGISTICA,6.0,5.8,0
REC_ENERGIA_SUBESTACION,POTENCIA,ENERGIA,4200.0,3676.18,1
