sesion_id,vehiculo_id,slot_id,inicio_sesion,fin_sesion,energia_entregada_kwh,tiempo_espera_previo_min,carga_interrumpida_flag,causa_interrupcion
SES_00000001,VEH_0000013,SLOT_001,2025-01-01 17:59:00,2025-01-01 19:38:00,55.869,20,0,SIN_INTERRUPCION
SES_00000002,VEH_0000032,SLOT_002,2025-01-01 21:45:00,2025-01-01 22:07:00,44.034,53,0,SIN_INTERRUPCION
SES_00000003,VEH_0000040,SLOT_003,2025-01-01 22:38:00,2025-01-01 23:30:00,37.634,32,0,SIN_INTERRUPCION
SES_00000004,VEH_0000068,SLOT_004,2025-01-02 02:53:00,2025-01-02 03:45:00,68.349,23,0,SIN_INTERRUPCION
SES_00000005,VEH_0000061,SLOT_005,2025-01-02 03:33:00,2025-01-02 04:33:00,64.21,12,0,SIN_INTERRUPCION
SES_00000006,VEH_0000093,SLOT_006,2025-01-02 05:11:00,2025-01-02 05:35:00,40.554,26,0,SIN_INTERRUPCION
SES_00000007,VEH_0000104,SLOT_007,2025-01-02 06:05:00,2025-01-02 06:47:00,60.932,9,0,SIN_INTERRUPCION
SES_00000008,VEH_0000139,SLOT_008,2025-01-02 12:35:00,2025-01-02 13:14:00,58.756,30,0,SIN_INTERRUPCION
SES_00000009,VEH_0000149,SLOT_009,2025-01-02 14:13:00,2025-01-02 14:36:00,54.944,41,0,SIN_INTERRUPCION
SES_00000010,VEH_0000159,SLOT_010,2025-01-02 15:35:00,2025-01-02 16:44:00,40.167,50,0,SIN_INTERRUPCION
SES_00000011,VEH_0000219,SLOT_011,2025-01-03 00:51:00,2025-01-03 01:22:00,44.705,35,0,SIN_INTERRUPCION
SES_00000012,VEH_0000207,SLOT_012,2025-01-03 01:41:00,2025-01-03 02:30:00,63.932,0,0,SIN_INTERRUPCION
SES_00000013,VEH_0000220,SLOT_013,2025-01-03 04:10:00,2025-01-03 05:29:00,43.5,32,0,SIN_INTERRUPCION
SES_00000014,VEH_0000312,SLOT_014,2025-01-03 13:51:00,2025-01-03 14:25:00,42.21,34,0,SIN_INTERRUPCION
SES_00000015,VEH_0000326,SLOT_016,2025-01-03 17:16:00,2025-01-03 17:39:00,40.669,34,0,SIN_INTERRUPCION
SES_00000016,VEH_0000340,SLOT_017,2025-01-03 18:28:00,2025-01-03 20:07:00,50.841,53,0,SIN_INTERRUPCION
