slot_id,zona_carga,potencia_max_kw,tipo_cargador,disponibilidad_flag,mantenimiento_flag,ocupacion_actual_flag
SLOT_001,SUR,60,DC_STANDARD,1,0,0
SLOT_002,OESTE,220,HPC,1,0,0
SLOT_003,NORTE,90,DC_FAST,1,0,0
SLOT_004,ESTE,120,DC_FAST,1,0,0
SLOT_005,SUR,90,DC_FAST,1,0,0
SLOT_006,OESTE,180,HPC,1,0,0
SLOT_007,SUR,150,DC_FAST,1,0,0
SLOT_008,SUR,220,HPC,1,0,0
SLOT_009,OESTE,220,HPC,1,0,0
SLOT_010,OESTE,60,DC_STANDARD,1,0,0
SLOT_011,SUR,300,HPC,1,0,0
SLOT_012,SUR,150,DC_FAST,1,0,0
SLOT_013,NORTE,50,DC_STANDARD,1,0,0
SLOT_014,OESTE,120,DC_FAST,1,0,0
SLOT_015,OESTE,120,DC_FAST,0,0,0
SLOT_016,ESTE,220,HPC,1,0,0
SLOT_017,NORTE,60,DC_STANDARD,1,0,0
SLOT_018,OESTE,50,DC_STANDARD,1,0,0
SLOT_019,NORTE,90,DC_FAST,1,0,0
SLOT_020,ESTE,90,DC_FAST,1,0,0
SLOT_021,NORTE,120,DC_FAST,1,0,0
SLOT_022,NORTE,50,DC_STANDARD,1,0,0
SLOT_023,NORTE,90,DC_FAST,1,0,0
SLOT_024,NORTE,60,DC_STANDARD,1,0,0
SLOT_025,SUR,120,DC_FAST,1,0,0
SLOT_026,SUR,120,DC_FAST,1,0,0
SLOT_027,SUR,60,DC_STANDARD,1,0,0
SLOT_028,ESTE,90,DC_FAST,1,0,0
SLOT_029,ESTE,150,DC_FAST,1,0,0
SLOT_030,SUR,180,HPC,1,0,0
SLOT_031,SUR,90,DC_FAST,1,0,0
SLOT_032,NORTE,120,DC_FAST,1,0,0
