fecha,turno,headcount_proxy,absentismo_proxy,productividad_turno_indice,presion_operativa_indice,overtime_flag
2025-01-01,A,107,0.0781,1.0748,0.4741,0
2025-01-01,B,105,0.0948,0.9692,0.5509,0
2025-01-01,C,91,0.056,0.9007,0.5158,0
2025-01-02,A,121,0.0294,1.0079,0.5054,0
2025-01-02,B,100,0.0858,0.9495,0.5967,0
2025-01-02,C,86,0.0643,0.8012,0.5079,0
2025-01-03,A,119,0.0532,1.0421,0.5801,0
2025-01-03,B,106,0.0608,0.92,0.531,0
2025-01-03,C,95,0.0551,0.8521,0.6229,0
2025-01-04,A,97,0.0747,0.9918,0.4606,0
2025-01-04,B,93,0.0693,1.0026,0.4977,0
2025-01-04,C,69,0.0831,0.8533,0.465,0
2025-01-05,A,94,0.0639,1.0297,0.5391,0
2025-01-05,B,91,0.0706,1.0515,0.4747,0
2025-01-05,C,82,0.0808,0.8591,0.6273,0
2025-01-06,A,120,0.099,0.9774,0.4923,0
2025-01-06,B,112,0.0764,0.9926,0.5355,0
2025-01-06,C,92,0.0668,0.8864,0.5132,0
2025-01-07,A,108,0.0705,0.9824,0.5613,0
2025-01-07,B,98,0.0976,0.8878,0.6192,0
2025-01-07,C,73,0.1064,0.8285,0.6234,0
2025-01-08,A,116,0.0874,0.9335,0.4632,0
2025-01-08,B,106,0.0657,0.9177,0.5581,0
2025-01-08,C,84,0.0767,0.8794,0.5553,0
2025-01-09,A,116,0.0914,0.9917,0.4124,0
2025-01-09,B,110,0.0483,0.914,0.4631,0
2025-01-09,C,92,0.0559,0.9062,0.5917,0
2025-01-10,A,117,0.0649,1.0317,0.5396,0
2025-01-10,B,112,0.0653,0.9112,0.5572,0
2025-01-10,C,99,0.0917,0.8461,0.6132,0
2025-01-11,A,111,0.081,0.9863,0.4444,0
2025-01-11,B,91,0.0948,0.8824,0.5339,0
2025-01-11,C,72,0.0942,0.7973,0.5472,0
2025-01-12,A,91,0.1033,0.9386,0.513,0
2025-01-12,B,90,0.0949,0.9598,0.4599,0
2025-01-12,C,66,0.1118,0.7927,0.485,1
2025-01-13,A,124,0.0921,0.9655,0.4492,0
2025-01-13,B,109,0.0906,0.8613,0.4925,0
2025-01-13,C,82,0.1162,0.8388,0.6057,1
2025-01-14,A,109,0.0785,0.9678,0.6043,0
2025-01-14,B,101,0.089,0.9866,0.4784,0
2025-01-14,C,105,0.0444,0.882,0.591,0
2025-01-15,A,116,0.0927,0.918,0.463,0
2025-01-15,B,112,0.0733,0.8477,0.6327,0
2025-01-15,C,87,0.0569,0.8651,0.6094,0
2025-01-16,A,108,0.0881,0.952,0.4682,0
2025-01-16,B,109,0.0964,0.8884,0.4168,0
2025-01-16,C,88,0.0695,0.8029,0.5551,0
2025-01-17,A,114,0.0916,0.965,0.518,0
2025-01-17,B,99,0.0757,0.9361,0.5705,0
2025-01-17,C,97,0.0731,0.8293,0.619,0
2025-01-18,A,97,0.089,0.9727,0.5806,0
2025-01-18,B,86,0.0636,0.9116,0.4692,0
2025-01-18,C,72,0.084,0.929,0.5002,0
2025-01-19,A,106,0.0913,0.9277,0.5106,0
2025-01-19,B,89,0.1245,0.846,0.5101,1
2025-01-19,C,75,0.0954,0.854,0.62,0
2025-01-20,A,122,0.0558,1.0843,0.4821,0
2025-01-20,B,104,0.09,0.8798,0.5612,0
2025-01-20,C,79,0.0578,0.9159,0.5644,0
2025-01-21,A,121,0.0852,0.9413,0.4917,0
2025-01-21,B,107,0.1082,0.9027,0.4379,0
2025-01-21,C,96,0.0789,0.8349,0.5736,0
2025-01-22,A,111,0.0788,0.9548,0.5254,0
2025-01-22,B,99,0.0821,0.9505,0.5004,0
2025-01-22,C,88,0.1102,0.8159,0.6041,1
2025-01-23,A,120,0.0844,0.9679,0.509,0
