event_id,order_id,estacion,ts_inicio,ts_fin,duracion_real_min,turno
PRD00000001,ORD000001,BODY,2025-01-02 00:53:00,2025-01-02 02:21:00,88,C
PRD00000002,ORD000001,PAINT,2025-01-02 02:25:00,2025-01-02 04:31:00,126,C
PRD00000003,ORD000001,ASSEMBLY,2025-01-02 04:38:00,2025-01-02 07:02:00,144,C
PRD00000004,ORD000001,EOL,2025-01-02 07:22:00,2025-01-02 08:08:00,46,A
PRD00000005,ORD000002,BODY,2025-01-01 20:44:00,2025-01-01 22:29:00,105,B
PRD00000006,ORD000002,PAINT,2025-01-01 22:46:00,2025-01-02 00:59:00,133,C
PRD00000007,ORD000002,ASSEMBLY,2025-01-02 01:02:00,2025-01-02 03:43:00,161,C
PRD00000008,ORD000002,EOL,2025-01-02 04:03:00,2025-01-02 04:41:00,38,C
PRD00000009,ORD000003,BODY,2025-01-01 18:42:00,2025-01-01 20:19:00,97,B
PRD00000010,ORD000003,PAINT,2025-01-01 20:26:00,2025-01-01 22:20:00,114,B
PRD00000011,ORD000003,ASSEMBLY,2025-01-01 22:24:00,2025-01-02 01:38:00,194,C
PRD00000012,ORD000003,EOL,2025-01-02 01:54:00,2025-01-02 02:34:00,40,C
PRD00000013,ORD000004,BODY,2025-01-01 11:59:00,2025-01-01 13:32:00,93,A
PRD00000014,ORD000004,PAINT,2025-01-01 13:51:00,2025-01-01 15:16:00,85,A
PRD00000015,ORD000004,ASSEMBLY,2025-01-01 15:21:00,2025-01-01 19:08:00,227,B
PRD00000016,ORD000004,EOL,2025-01-01 19:24:00,2025-01-01 20:01:00,37,B
PRD00000017,ORD000005,BODY,2025-01-01 09:11:00,2025-01-01 10:35:00,84,A
PRD00000018,ORD000005,PAINT,2025-01-01 10:56:00,2025-01-01 12:48:00,112,A
PRD00000019,ORD000005,ASSEMBLY,2025-01-01 12:56:00,2025-01-01 16:35:00,219,A
PRD00000020,ORD000005,EOL,2025-01-01 16:43:00,2025-01-01 17:28:00,45,B
PRD00000021,ORD000006,BODY,2025-01-01 19:12:00,2025-01-01 21:15:00,123,B
PRD00000022,ORD000006,PAINT,2025-01-01 21:34:00,2025-01-01 22:46:00,72,B
PRD00000023,ORD000006,ASSEMBLY,2025-01-01 22:59:00,2025-01-02 02:10:00,191,C
PRD00000024,ORD000006,EOL,2025-01-02 02:14:00,2025-01-02 02:55:00,41,C
PRD00000025,ORD000007,BODY,2025-01-01 06:36:00,2025-01-01 08:41:00,125,A
PRD00000026,ORD000007,PAINT,2025-01-01 08:51:00,2025-01-01 10:29:00,98,A
PRD00000027,ORD000007,ASSEMBLY,2025-01-01 10:41:00,2025-01-01 14:55:00,254,A
PRD00000028,ORD000007,EOL,2025-01-01 14:59:00,2025-01-01 15:42:00,43,B
PRD00000029,ORD000008,BODY,2025-01-01 13:10:00,2025-01-01 15:14:00,124,A
PRD00000030,ORD000008,PAINT,2025-01-01 15:17:00,2025-01-01 17:07:00,110,B
PRD00000031,ORD000008,ASSEMBLY,2025-01-01 17:22:00,2025-01-01 21:35:00,253,B
PRD00000032,ORD000008,EOL,2025-01-01 21:48:00,2025-01-01 22:43:00,55,B
PRD00000033,ORD000009,BODY,2025-01-02 01:18:00,2025-01-02 02:38:00,80,C
PRD00000034,ORD000009,PAINT,2025-01-02 02:49:00,2025-01-02 04:22:00,93,C
PRD00000035,ORD000009,ASSEMBLY,2025-01-02 04:25:00,2025-01-02 07:42:00,197,C
PRD00000036,ORD000009,EOL,2025-01-02 07:46:00,2025-01-02 08:19:00,33,A
PRD00000037,ORD000010,BODY,2025-01-01 09:06:00,2025-01-01 10:46:00,100,A
PRD00000038,ORD000010,PAINT,2025-01-01 11:01:00,2025-01-01 13:00:00,119,A
PRD00000039,ORD000010,ASSEMBLY,2025-01-01 13:11:00,2025-01-01 16:51:00,220,A
PRD00000040,ORD000010,EOL,2025-01-01 17:10:00,2025-01-01 18:08:00,58,B
PRD00000041,ORD000011,BODY,2025-01-01 23:30:00,2025-01-02 01:32:00,122,C
PRD00000042,ORD000011,PAINT,2025-01-02 01:46:00,2025-01-02 03:37:00,111,C
PRD00000043,ORD000011,ASSEMBLY,2025-01-02 03:44:00,2025-01-02 07:12:00,208,C
PRD00000044,ORD000011,EOL,2025-01-02 07:23:00,2025-01-02 07:49:00,26,A
PRD00000045,ORD000012,BODY,2025-01-01 03:09:00,2025-01-01 04:46:00,97,C
PRD00000046,ORD000012,PAINT,2025-01-01 04:52:00,2025-01-01 07:06:00,134,C
PRD00000047,ORD000012,ASSEMBLY,2025-01-01 07:25:00,2025-01-01 10:16:00,171,A
PRD00000048,ORD000012,EOL,2025-01-01 10:36:00,2025-01-01 11:29:00,53,A
PRD00000049,ORD000013,BODY,2025-01-01 08:02:00,2025-01-01 09:07:00,65,A
PRD00000050,ORD000013,PAINT,2025-01-01 09:12:00,2025-01-01 10:58:00,106,A
PRD00000051,ORD000013,ASSEMBLY,2025-01-01 11:17:00,2025-01-01 14:48:00,211,A
PRD00000052,ORD000013,EOL,2025-01-01 14:51:00,2025-01-01 15:39:00,48,B
PRD00000053,ORD000014,BODY,2025-01-01 21:36:00,2025-01-01 23:33:00,117,B
PRD00000054,ORD000014,PAINT,2025-01-01 23:54:00,2025-01-02 01:47:00,113,C
PRD00000055,ORD000014,ASSEMBLY,2025-01-02 02:08:00,2025-01-02 06:42:00,274,C
PRD00000056,ORD000014,EOL,2025-01-02 06:59:00,2025-01-02 08:00:00,61,A
PRD00000057,ORD000015,BODY,2025-01-01 18:35:00,2025-01-01 20:03:00,88,B
PRD00000058,ORD000015,PAINT,2025-01-01 20:13:00,2025-01-01 22:18:00,125,B
PRD00000059,ORD000015,ASSEMBLY,2025-01-01 22:29:00,2025-01-02 02:41:00,252,C
PRD00000060,ORD000015,EOL,2025-01-02 02:57:00,2025-01-02 03:47:00,50,C
PRD00000061,ORD000016,BODY,2025-01-01 13:55:00,2025-01-01 15:38:00,103,A
PRD00000062,ORD000016,PAINT,2025-01-01 15:52:00,2025-01-01 17:24:00,92,B
PRD00000063,ORD000016,ASSEMBLY,2025-01-01 17:39:00,2025-01-01 22:10:00,271,B
PRD00000064,ORD000016,EOL,2025-01-01 22:16:00,2025-01-01 23:03:00,47,C
PRD00000065,ORD000017,BODY,2025-01-01 08:33:00,2025-01-01 09:57:00,84,A
PRD00000066,ORD000017,PAINT,2025-01-01 10:11:00,2025-01-01 12:06:00,115,A
PRD00000067,ORD000017,ASSEMBLY,2025-01-01 12:16:00,2025-01-01 15:59:00,223,A
PRD00000068,ORD000017,EOL,2025-01-01 16:05:00,2025-01-01 16:43:00,38,B
PRD00000069,ORD000018,BODY,2025-01-01 10:17:00,2025-01-01 12:10:00,113,A
PRD00000070,ORD000018,PAINT,2025-01-01 12:18:00,2025-01-01 14:07:00,109,A
PRD00000071,ORD000018,ASSEMBLY,2025-01-01 14:12:00,2025-01-01 18:51:00,279,B
PRD00000072,ORD000018,EOL,2025-01-01 19:06:00,2025-01-01 19:44:00,38,B
PRD00000073,ORD000019,BODY,2025-01-02 01:57:00,2025-01-02 03:28:00,91,C
PRD00000074,ORD000019,PAINT,2025-01-02 03:34:00,2025-01-02 04:55:00,81,C
PRD00000075,ORD000019,ASSEMBLY,2025-01-02 05:13:00,2025-01-02 08:15:00,182,C
PRD00000076,ORD000019,EOL,2025-01-02 08:27:00,2025-01-02 09:07:00,40,A
PRD00000077,ORD000020,BODY,2025-01-01 06:36:00,2025-01-01 08:24:00,108,A
PRD00000078,ORD000020,PAINT,2025-01-01 08:42:00,2025-01-01 10:31:00,109,A
PRD00000079,ORD000020,ASSEMBLY,2025-01-01 10:42:00,2025-01-01 14:07:00,205,A
PRD00000080,ORD000020,EOL,2025-01-01 14:10:00,2025-01-01 14:48:00,38,B
PRD00000081,ORD000021,BODY,2025-01-01 18:05:00,2025-01-01 19:40:00,95,B
PRD00000082,ORD000021,PAINT,2025-01-01 19:55:00,2025-01-01 21:46:00,111,B
PRD00000083,ORD000021,ASSEMBLY,2025-01-01 21:49:00,2025-01-02 00:51:00,182,B
PRD00000084,ORD000021,EOL,2025-01-02 01:05:00,2025-01-02 01:33:00,28,C
PRD00000085,ORD000022,BODY,2025-01-01 09:14:00,2025-01-01 11:11:00,117,A
PRD00000086,ORD000022,PAINT,2025-01-01 11:21:00,2025-01-01 13:05:00,104,A
PRD00000087,ORD000022,ASSEMBLY,2025-01-01 13:14:00,2025-01-01 16:59:00,225,A
PRD00000088,ORD000022,EOL,2025-01-01 17:12:00,2025-01-01 18:01:00,49,B
PRD00000089,ORD000023,BODY,2025-01-01 14:04:00,2025-01-01 15:36:00,92,B
PRD00000090,ORD000023,PAINT,2025-01-01 15:49:00,2025-01-01 17:35:00,106,B
PRD00000091,ORD000023,ASSEMBLY,2025-01-01 17:42:00,2025-01-01 20:58:00,196,B
PRD00000092,ORD000023,EOL,2025-01-01 21:04:00,2025-01-01 21:51:00,47,B
PRD00000093,ORD000024,BODY,2025-01-01 18:19:00,2025-01-01 19:49:00,90,B
PRD00000094,ORD000024,PAINT,2025-01-01 20:10:00,2025-01-01 21:50:00,100,B
PRD00000095,ORD000024,ASSEMBLY,2025-01-01 22:10:00,2025-01-02 01:14:00,184,C
PRD00000096,ORD000024,EOL,2025-01-02 01:29:00,2025-01-02 02:02:00,33,C
