restriccion_id,timestamp_inicio,timestamp_fin,area,tipo_restriccion,severidad,impacto_capacidad_pct
RST_00000001,2025-01-01 14:23:00,2025-01-01 17:36:00,PRODUCCION,BAJA_DOTACION,3,0.1732
RST_00000002,2025-01-02 02:26:00,2025-01-02 05:07:00,PRODUCCION,RETRABAJO_ELEVADO,3,0.1721
RST_00000003,2025-01-02 11:05:00,2025-01-02 13:10:00,CARGA,MANTENIMIENTO_CARGA,1,0.1309
RST_00000004,2025-01-02 12:52:00,2025-01-02 16:53:00,PRODUCCION,BAJA_DOTACION,4,0.2395
RST_00000005,2025-01-02 09:07:00,2025-01-02 12:08:00,PRODUCCION,MICROPARADAS_LINEA,3,0.1563
RST_00000006,2025-01-02 18:41:00,2025-01-02 20:57:00,CARGA,MANTENIMIENTO_CARGA,2,0.1744
RST_00000007,2025-01-03 17:34:00,2025-01-03 20:29:00,CARGA,MANTENIMIENTO_CARGA,2,0.1512
RST_00000008,2025-01-03 15:11:00,2025-01-03 17:13:00,PRODUCCION,BAJA_DOTACION,2,0.1477
RST_00000009,2025-01-05 10:40:00,2025-01-05 15:16:00,LOGISTICA,LIMITACION_TRANSPORTISTA,5,0.2697
RST_00000010,2025-01-06 17:11:00,2025-01-06 20:07:00,PATIO,BLOQUEO_POSICIONES,3,0.1696
RST_00000011,2025-01-07 08:18:00,2025-01-07 10:38:00,LOGISTICA,FALTA_SLOT_TRANSPORTE,1,0.0816
RST_00000012,2025-01-07 16:30:00,2025-01-07 19:01:00,PRODUCCION,MICROPARADAS_LINEA,2,0.2126
RST_00000013,2025-01-08 01:24:00,2025-01-08 05:25:00,PATIO,BLOQUEO_POSICIONES,4,0.2298
RST_00000014,2025-01-08 02:43:00,2025-01-08 04:45:00,LOGISTICA,INCIDENCIA_DOCUMENTAL,1,0.1598
RST_00000015,2025-01-08 08:48:00,2025-01-08 11:58:00,LOGISTICA,INCIDENCIA_DOCUMENTAL,3,0.1686
RST_00000016,2025-01-08 17:22:00,2025-01-08 20:35:00,CARGA,AVERIA_CARGADOR,3,0.1779
RST_00000017,2025-01-09 16:36:00,2025-01-09 18:05:00,PRODUCCION,BAJA_DOTACION,1,0.1132
